t1,t2,t3,t4,xr2,yr2,xr3,yr3,xr4,yr4,EAB
1.127,1.446,1.547,1.399,6.103,1.895,3.759,2.704,3.397,1.874,0.56 
1.325,1.089,1.009,1.562,5.137,2.844,5.019,2.892,3.628,2.341,0.45 
1.363,1.552,1.395,1.554,5.673,1.965,6.241,2.205,5.42,2.827,0.34 
1.976,1.467,1.874,1.987,3.774,2.354,4.99,2.013,4.737,2.614,0.42 
1.974,1.577,1.755,1.135,3.427,2.504,4.178,2.102,4.849,1.689,0.67 
1.069,1.517,1.382,1.529,3.857,2.972,4.97,2.435,6.482,2.726,0.21 
1.254,1.586,1.092,1.283,4.571,2.472,5.53,2.53,3.402,2.568,0.48 
1.248,1.228,1.313,1.136,4.726,1.88,3.128,1.981,5.063,2.776,0.45 
1.071,1.278,1.911,1.173,5.218,2.731,3.434,2.116,3.323,2.305,0.73 
1.89,1.806,1.536,1.202,3.868,2.444,4.681,2.688,3.753,2.27,0.57 
1.487,1.74,1.624,1.055,6.448,2.414,5.589,1.634,3.227,2.741,0.40 
1.684,1.55,1.538,1.638,3.686,1.961,3.109,2.901,5.661,2.858,0.17 
1.411,1.124,1.64,1.596,4.062,2.528,5.929,2.367,3.014,2.344,0.48 
1.517,1.844,1.553,1.072,6.254,2.331,3.887,2.192,4.235,1.981,0.43 
1.426,1.783,1.092,1.337,5.333,1.858,3.247,2.593,4.384,2.484,0.58 
1.039,1.061,1.984,1.24,6.261,2.074,3.797,1.903,4.426,2.598,0.58 
1.462,1.885,1.103,1.505,3.297,2.459,5.202,2.378,5.75,2.906,0.16 
1.846,1.655,1.246,1.06,4.537,2.368,5.109,2.845,4.182,1.919,0.50 
1.453,1.057,1.001,1.004,5.386,2.28,3.374,2.081,6.107,2.201,0.30 
1.665,1.225,1.701,1.466,3.363,2.026,5.674,2.475,4.195,2.311,0.39 
1.657,1.064,1.39,1.832,4.942,2.725,4.785,1.764,6.138,1.814,0.55 
1.457,1.831,1.838,1.488,5.958,2.086,5.741,2.073,3.573,2.8,0.45 
1.768,1.078,1.471,1.722,6.419,2.688,4.075,1.907,3.617,2.395,0.57 
1.842,1.344,1.347,1.649,5.838,2.433,4.02,2.232,3.854,2.339,0.50 
1.506,1.554,1.543,1.287,3.309,2.372,6.232,2.117,6.4,1.537,0.24 
1.757,1.106,1.259,1.177,5.955,2.13,6.32,1.7,3.548,1.777,0.30 
1.814,1.252,1.064,1.449,5.601,1.921,5.07,2.741,4.048,2.688,0.39 
1.737,1.691,1.794,1.091,4.289,2.375,5.276,1.874,5.614,2.676,0.49 
1.337,1.427,1.197,1.423,5.307,1.685,6.352,1.569,5.392,2.307,0.39 
1.752,1.042,1.076,1.669,3.326,2.761,3.486,1.996,6.046,1.923,0.53 
1.329,1.729,1.241,1.065,4.86,2.64,4.263,2.527,6.064,2.531,0.50 
1.982,1.762,1.375,1.35,4.578,1.752,3.596,2.337,3.498,2.791,0.69 
1.654,1.839,1.85,1.825,3.933,1.777,3.615,1.556,3.817,2.926,0.54 
1.443,1.849,1.037,1.578,3.577,2.557,6.126,1.925,5.115,2.384,0.42 
1.022,1.371,1.45,1.126,6.464,2.004,3.498,2.58,6.16,2.101,0.39 
1.884,1.653,1.74,1.649,6.018,2.318,5.091,2.121,5.492,1.628,0.50 
1.133,1.072,1.76,1.426,6.45,2.854,3.255,1.75,4.617,1.747,0.60 
1.84,1.325,1.254,1.058,3.457,1.787,4.711,2.564,4.927,2.235,0.48 
1.872,1.854,1.826,1.744,3.792,2.04,6.001,1.873,3.652,1.882,0.50 
1.259,1.566,1.348,1.41,6.258,2.907,5.254,2.316,5.403,2.308,0.38 
1.226,1.688,1.464,1.952,5.25,2.678,3.556,2.702,5.058,2.361,0.66 
1.611,1.921,1.001,1.403,5.688,2.982,5.816,1.723,4.962,1.515,0.38 
1.056,1.886,1.529,1.588,5.795,2.19,5.513,2.016,4.357,2.442,0.58 
1.883,1.438,1.581,1.919,4.851,2.343,3.576,2.811,5.89,2.001,0.45 
1.408,1.816,1.917,1.488,3.411,2.715,5.325,2.652,5.006,2.957,0.10 
1.353,1.936,1.138,1.769,4.372,2.691,5.829,2.248,4.896,2.452,0.53 
1.498,1.559,1.695,1.015,4.143,2.556,5.606,1.914,5.458,2.885,0.53 
1.579,1.695,1.478,1.103,5.505,2.541,6.347,1.686,5.194,2.999,0.39 
1.036,1.564,1.271,1.164,3.933,2.466,6.058,2.036,3.378,2.375,0.41 
1.479,1.829,1.163,1.024,4.093,2.926,5.348,2.508,4.669,1.872,0.52 
1.045,1.817,1.022,1.324,5.553,2.823,6.192,1.616,3.552,2.505,0.44 
1.924,1.129,1.103,1.447,3.034,2.797,3.648,2.301,3.545,2.974,0.61 
1.834,1.553,1.262,1.98,4.665,2.987,3.285,2.185,3.796,1.849,0.71 
1.747,1.664,1.889,1.717,6.204,1.787,4.763,2.077,3.233,1.806,0.50 
1.27,1.058,1.978,1.135,3.319,2.88,6.213,1.855,4.899,2.614,0.40 
1.577,1.905,1.531,1.029,3.98,1.755,4.531,2.565,4.766,1.915,0.57 
1.016,1.576,1.232,1.738,5.926,1.603,3.612,2.696,4.916,2.432,0.53 
1.397,1.674,1.745,1.178,4.301,2.288,5.532,1.596,3.008,2.269,0.62 
1.893,1.856,1.63,1.891,3.515,2.117,5.022,2.272,6.339,2.567,0.11 
1.24,1.685,1.462,1.674,3.939,2.579,4.378,2.397,6.056,1.763,0.48 
1.013,1.384,1.775,1.117,6.303,1.801,5.941,2.012,3.452,2.613,0.41 
1.925,1.956,1.699,1.74,6.387,1.858,3.135,2.827,6,1.739,0.42 
1.839,1.806,1.102,1.488,4.395,1.92,5.956,2.828,6.417,1.967,0.28 
1.239,1.888,1.458,1.246,5.562,1.793,3.46,2.367,3.968,1.73,0.63 
1.844,1.597,1.004,1.86,4.142,2.314,4.385,2.667,6.385,2.118,0.36 
1.475,1.281,1.81,1.087,3.218,1.534,3.223,2.892,5.129,2.319,0.47 
1.905,1.497,1.657,1.031,5.973,2.344,4.585,2.4,4.681,1.567,0.42 
1.73,1.065,1.808,1.055,3.753,2.325,3.174,2.538,6.07,2.804,0.49 
1.101,1.739,1.447,1.088,4.727,2.894,3.866,1.737,3.358,2.902,0.68 
1.862,1.042,1.406,1.726,5.342,1.847,4.951,2.204,5.729,1.584,0.52 
1.069,1.614,1.405,1.711,4.299,1.983,3.662,2.075,3.171,2.849,0.63 
1.532,1.404,1.015,1.392,4.544,2.729,4.471,2.983,6.294,1.939,0.46 
1.565,1.396,1.565,1.747,5.142,2.771,6.404,2.467,4.261,2.825,0.40 
1.211,1.318,1.881,1.584,5.327,1.883,4.003,2.078,3.747,2.622,0.75 
1.41,1.156,1.635,1.806,5.415,2.52,5.749,2.619,3.1,1.801,0.48 
1.583,1.358,1.91,1.191,4.169,1.596,4.972,2.991,4.474,2.942,0.15 
1.441,1.504,1.901,1.172,5.831,2.296,3.091,2.092,5.501,1.52,0.55 
1.231,1.063,1.125,1.734,5.166,1.544,4.793,2.536,4.616,1.755,0.48 
1.662,1.784,1.769,1.816,3.003,2.967,4.536,2.14,3.718,2.369,0.74 
1.025,1.4,1.39,1.81,5.313,2.156,5.27,1.97,3.57,2.036,0.63 
1.222,1.757,1.843,1.778,3.328,1.781,3.249,2.339,3.964,1.942,0.52 
1.109,1.425,1.571,1.239,3.882,2.491,3.371,1.798,5.83,1.954,0.55 
1.389,1.298,1.95,1.713,3.716,1.594,6.351,2.941,3.363,1.608,0.30 
1.906,1.902,1.782,1.947,4.065,2.064,3.421,2.028,5.579,2.12,0.63 
1.179,1.144,1.023,1.875,6.194,2.016,6.288,2.124,6.159,1.611,0.32 
1.027,1.188,1.873,1.125,4.815,1.773,4.001,1.957,6.199,2.436,0.43 
1.784,1.227,1.241,1.32,5.705,2.545,4.848,2.053,6.205,2.016,0.40 
1.516,1.139,1.828,1.672,3.541,2.874,5.62,1.743,6.137,1.708,0.55 
1.472,1.608,1.335,1.612,4.127,1.977,3.735,2.432,4.553,2.039,0.68 
1.31,1.337,1.206,1.482,4.093,2.147,6.434,2.848,3.287,1.952,0.35 
1.098,1.561,1.466,1.815,3.823,1.637,3.39,2.962,3.17,1.555,0.70 
1.344,1.415,1.304,1.585,5.203,1.702,4.071,2.124,5.306,2.064,0.57 
1.893,1.831,1.581,1.044,5.765,2.729,4.463,2.384,5.092,1.844,0.45 
1.192,1.749,1.19,1.682,5.798,1.58,5.865,2.098,3.552,2.265,0.51 
1.687,1.591,1.659,1.363,4.024,2.355,4.619,2.02,4.056,1.857,0.68 
1.657,1.321,1.254,1.105,5.87,2.576,6.031,2.256,3.047,2.517,0.32 
1.221,1.144,1.738,1.318,5.18,2.501,6.101,2.993,4.409,2.055,0.29 
1.213,1.011,1.447,1.731,4.313,2.451,5.586,2.866,3.154,2.805,0.48 
1.693,1.884,1.151,1.865,4.945,2.026,5.71,2.044,5.339,1.625,0.58 
1.71,1.113,1.854,1.88,3.906,2.47,5.561,2.637,3.88,1.971,0.47 
1.218,1.564,1.855,1.998,3.05,2.465,3.637,2.111,4.225,2.602,0.48 
1.239,1.359,1.768,1.737,3.86,2.92,3.811,2.272,5.971,1.526,0.64 
1.337,1.384,1.276,1.841,6.181,2.185,6.314,2.107,5.658,2.216,0.37 
1.577,1.214,1.902,1.318,4.103,1.535,6.445,2.694,6.24,2.094,0.32 
1.24,1.952,1.57,1.498,5.53,2.191,3.701,1.554,3.425,1.991,0.74 
1.104,1.747,1.921,1.514,5.225,2.008,3.704,2.512,5.284,1.937,0.67 
1.855,1.629,1.702,1.43,4.739,2.632,4.69,2.506,5.998,2.908,0.27 
1.609,1.843,1.928,1.253,3.751,1.504,5.308,2.999,4.51,1.7,0.06 
1.472,1.299,1.258,1.653,4.299,2.797,6.041,2.424,6.338,1.671,0.39 
1.882,1.039,1.072,1.298,5.171,1.845,4.586,2.66,6.161,2.332,0.38 
1.038,1.102,1.389,1.524,4.189,1.664,3.023,2.432,5.05,2.367,0.50 
1.511,1.772,1.935,1.724,5.39,2.795,4.922,1.658,3.743,1.82,0.70 
1.796,1.138,1.797,1.41,4.308,2.776,4.687,2.116,5.19,1.588,0.61 
1.778,1.32,1.841,1.597,5.033,2.615,5.83,2.661,4.529,1.697,0.41 
1.416,1.705,1.169,1.016,4.997,2.51,4.431,2.311,3.769,1.785,0.50 
1.059,1.202,1.764,1.89,3.757,1.799,5.191,2.903,5.08,1.955,0.35 
1.277,1.074,1.964,1.644,4.697,1.526,5.297,2.008,3.254,1.924,0.59 
1.652,1.344,1.971,1.167,4.013,2.189,5.949,1.504,3.424,2.815,0.59 
1.056,1.352,1.957,1.184,4.042,1.944,5.154,1.849,5.11,2.221,0.49 
1.42,1.767,1.076,1.064,6.414,1.854,3.332,1.855,3.846,2.519,0.43 
1.276,1.45,1.455,1.099,6.422,1.553,6.198,1.843,5.181,2.023,0.33 
1.162,1.096,1.635,1.105,5.146,1.943,3.863,1.592,3.437,2.048,0.66 
1.984,1.697,1.58,1.194,3.333,1.586,6.441,2.751,5.458,2.116,0.11 
1.121,1.664,1.971,1.872,4.07,1.904,3.24,2.489,3.838,2.972,0.50 
1.19,1.128,1.531,1.454,4.548,1.87,6.108,1.798,6.024,2.511,0.34 
1.532,1.487,1.357,1.075,5.968,2.261,5.859,2.79,5.845,1.815,0.31 
1.245,1.977,1.234,1.723,3.4,2.894,4.115,2.638,5.741,2.509,0.40 
1.621,1.906,1.226,1.539,6.081,1.854,6.04,2.781,5.799,1.639,0.34 
1.811,1.402,1.281,1.515,3.744,2.082,3.549,1.742,3.447,1.592,0.66 
1.948,1.165,1.566,1.652,5.365,2.731,3.241,2.669,3.93,2.252,0.55 
1.567,1.987,1.567,1.724,5.876,2.342,4.828,2.64,3.738,1.928,0.49 
1.522,1.704,1.153,1.297,4.65,2.102,6.326,2.536,5.081,1.713,0.31 
