tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
11.975,13.287,1.606,8.19,13.995,4.114,11.378,4.191,14.853,6.168,139
5.984,14.198,1.595,8.456,14.173,5.624,15.055,5.804,10.174,3.248,135
6.246,15.439,1.712,9.965,13.503,4.134,13.607,6.333,11.512,6.158,138
5.274,17.277,1.943,8.887,10.158,3.334,13.796,3.831,15.241,3.634,141
8.723,15.159,1.496,8.618,12.494,6.408,15.227,5.502,15.051,5.003,137
5.366,12.686,1.669,8.106,12.439,4.085,10.553,4.919,11.53,5.722,136
11.911,15.227,1.013,8.269,14.64,3.768,15.01,6.142,13.865,5.256,139
7.01,18.715,1.59,8.15,10.183,4.904,12.623,6.224,12.449,3.16,140
11.96,16.735,1.891,9.904,13.771,6.007,11.91,6.359,10.463,5.637,138
7.343,13.358,1.392,9.297,11.581,3.381,10.25,5.432,14.862,6.005,138
11.609,13.999,1.372,8.414,13.471,4.653,12.318,3.768,11.083,5.54,141
8.688,13.137,1.198,9.915,12.793,3.148,11.985,5.447,10.663,3.311,138
7.559,18.854,1.324,9.767,12.609,6.271,11.23,5.616,11.664,6,137
6.648,14.931,1.501,8.09,12.666,5.475,13.497,6.129,15.43,5.12,136
5.361,14.596,1.635,9.869,15.424,4.913,12.847,5.659,14.039,5.467,136
9.32,15.089,1.128,9.114,12.198,5.469,10.686,5.933,11.869,5.615,139
10.429,15.804,1.909,9.68,12.005,4.058,10.305,4.03,15.453,4.504,141
9.995,12.041,1.384,9.87,12.008,6.1,11.227,3.066,11.056,4.888,138
10.258,14.319,1.847,8.144,15.294,4.167,12.053,4.586,10.772,3.763,138
7.168,14.683,1.031,8.199,12.771,5.554,12.391,5.016,13.702,4.589,137
8.437,19.597,1.239,9.502,12.454,3.199,12.584,6.46,10.98,5.853,138
8.216,18.779,1.263,8.297,15.368,6.14,14.755,4.565,13.916,6.415,129
6.572,13.715,1.964,8.543,10.233,3.213,11.523,4.812,12.838,5.454,131
5.574,13.623,1.334,8.211,14.725,3.726,12.161,4.647,14.717,5.688,138
8.692,13.257,1.904,8.362,10.159,3.899,11.799,3.504,11.305,6.292,129
8.77,13.222,1.987,8.496,11.589,5.96,11.034,4.652,10.771,5.508,132
7.236,18.353,1.183,8.178,10.692,4.155,12.887,5.696,11.582,3.832,138
9.151,14.24,1.353,8.096,14.211,3.24,13.917,6.051,12.084,5.194,138
11.224,17.096,1.633,9.792,15.191,3.076,12.351,6.079,11.395,3.793,141
