tr1,br1,d1,t2,xr1,yr1,xr2,yr2,xr3,yr3,EAB
5.724,15.934,1.24,9.735,13.433,1.936,12.729,5.877,11.823,3.646,78
5.561,13.123,3.206,9.805,13.11,3.885,15.206,5.681,15.074,6.299,33
10.193,13.614,2.108,8.664,14.901,5.62,13.897,4.73,12.113,5.97,79
8.411,17.177,3.306,9.739,10.55,3.867,12.373,1.797,11.508,5.257,54
5.144,14.504,1.068,9.1,10.933,4.832,13.322,6.349,12.346,3.148,68
5.033,17.536,1.99,8.842,10.711,4.141,11.651,2.04,10.406,6.077,91
11.245,18.824,2.521,8.409,10.033,5.434,12.02,4.114,12.865,5.99,71
10.491,13.418,1.059,9.239,11.664,4.947,15.221,4.912,14.896,6.244,95
8.376,17.455,1.991,9.597,15.483,4.083,14.264,5.223,11.771,2.324,86
9.957,13.839,2.519,8.005,13.639,3.007,10.427,3.104,14.975,2.285,82
8.133,12.343,2.304,9.726,11.594,5.41,15.234,5.171,10.703,3.621,103
5.575,17.934,2.349,9.393,12.376,3.916,10.288,2.904,12.495,6.252,81
5.764,18.299,2.213,8.457,14.895,3.882,12.11,1.933,11.465,3.538,92
7.615,18.293,2.682,8.836,10.749,1.714,10.963,1.238,13.718,5.498,65
8.626,18.434,3.487,8.286,12.37,2.035,10.561,1.911,15.372,5.317,46
7.754,17.567,1.552,8.804,15.136,4.192,10.028,5.78,13.671,2.044,67
5.752,17.493,1.233,9.039,13.101,1.989,12.392,5.436,12.428,2.692,71
10.833,12.583,3.097,9.575,13.297,3.724,12.171,4.799,10.291,1.08,80
5.633,13.321,3.449,8.172,13.418,3.42,11.322,6.38,10.689,5.244,78
8.933,16.226,2.356,8.966,10.213,5.165,12.169,5.17,12.096,2.397,82
6.799,14.724,2.093,9.464,13.934,5.403,10.125,4.663,10.417,3.861,91
9.114,15.345,2.551,8.113,14.142,5.132,13.755,1.203,11.357,1.802,49
7.301,13.972,1.681,9.638,15.058,1.315,14.623,5.714,11.894,5.744,89
5.658,14.912,1.49,9.337,10.869,1.188,13.735,3.744,13.016,1.305,56
8.675,18.187,2.665,9.497,13.848,2.702,12.264,5.671,11.003,1.606,84
8.158,18.705,2.5,9.18,10.882,2.25,15.461,3.181,14.325,2.137,68
8.501,15.879,3.123,9.119,11.318,4.296,11.772,2.379,10.924,5.507,61
9.311,16.754,1.499,8.657,14.965,3.253,12.021,1.311,14.451,1.378,41
7.129,14.866,1.02,9.684,14.565,3.087,14.092,3.473,15.075,2.484,61
10.738,13.802,3.135,9.795,10.434,5.375,14.26,2.22,15.017,4.759,43
8.683,19.839,3.053,9.489,15.3,5.647,13.136,5.598,13.132,4.91,75
11.689,17.036,2.595,8.522,14.007,6.36,14.488,3.604,13.833,4.926,76
6.929,13.817,2.351,8.727,11.675,4.601,12.04,4.062,13.267,3.238,90
8.971,17.325,1.008,8.96,15.043,3.75,10.475,5.199,13.277,3.715,52
6.101,19.738,1.042,8.566,10.992,1.434,10.437,1.466,11.437,1.065,34
10.948,18.233,1.061,9.199,11.126,1.564,13.613,4.254,12.584,5.732,81
11.283,18.448,2.456,9.123,14.161,1.548,14.461,3.118,11.341,2.682,67
8.949,19.04,3.223,9.602,11.738,2.713,11.836,5.7,11.013,1.292,92
10.428,15.327,1.472,9.871,13.018,3.751,13.987,6.256,13.422,5.534,96
6.933,14.037,1.727,9.704,14.999,5.221,14.665,5.956,13.127,3.506,96
8.63,15.802,2.789,9.047,12.363,3.585,11.822,3.908,14.99,3.264,78
10.755,18.325,3.186,8.776,14.716,1.025,13.484,5.523,13.682,3.569,73
10.724,18.009,3.117,9.637,14.321,5.173,10.851,4.905,11.36,2.249,77
7.872,14.392,1.997,8.113,15.209,6.414,11.919,3.814,13.839,2.539,71
5.81,14.836,2.073,8.48,15.39,6.014,10.848,2.866,12.588,2.326,57
6.843,13.698,2.918,8.101,12.173,1.898,14.402,3.87,13.21,5.66,66
10.805,17.616,2.784,8.067,14.288,4.38,14.462,5.692,10.681,5.104,71
6.452,15.527,2.451,8.139,10.535,3.064,12.316,2.385,12.94,5.529,74
9.605,13.704,1.969,9.596,14.954,4.756,11.595,3.366,10.878,6.048,91
5.809,17.353,1.939,8.463,10.063,2.698,15.291,3.733,12.847,5.138,82
5.962,14.194,3.018,8.839,11.811,4.979,13.162,2.107,12.375,6.251,43
9.271,18.98,1.499,9.951,13.189,5.739,13.049,5.893,10.316,2.608,63
5.657,16.036,1.818,9.392,13.155,1.012,15.467,2.681,13.591,5.573,79
11.52,14.685,2.698,8.956,13.303,1.847,14.377,2.459,11.465,5.151,64
6.074,18.781,1.372,8.866,12.781,4.009,10.183,1.402,15.338,2.064,44
7.656,19.636,1.6,9.242,12.482,3.642,10.099,3.651,12.789,5.051,76
11.763,16.223,2.436,8.575,15.194,1.113,14.663,1.632,14.511,3.334,61
6.628,12.824,2.582,8.078,10.408,6.403,12.163,5.006,13.289,1.728,84
7.086,15.187,1.235,8.304,13.53,3.134,12.071,4.327,11.147,3.312,54
8.869,18.757,2.054,8.553,13.437,2.785,10.194,5.656,15.309,2.667,78
9.541,17.695,1.477,8.69,14.53,6.057,12.57,3.916,10.469,1.551,33
10.46,18.17,2.479,9.179,11.073,1.834,14.114,4.887,13.565,4.765,67
8.862,18.782,1.724,8.809,15.197,4.024,15.042,2.066,15.277,2.001,58
8.679,14.01,3.335,8.84,12.826,4.361,13.218,1.877,13.103,4.39,57
6.474,12.203,2.854,9.506,14.469,1.734,14.586,5.133,12.281,2.431,77
8.274,14.919,1.901,8.152,10.179,4.973,14.777,4.302,15.173,4.705,88
9.42,16.271,1.643,8.046,14.044,4.423,11.273,1.343,13.759,4.914,83
10.306,14.501,3.012,9.295,11.66,5.791,14.555,4.728,11.744,2.546,81
11.327,16.1,2.732,8.646,14.695,4.839,11.386,4.494,15.121,3.546,81
10.901,16.594,3.179,9.381,10.249,2.171,12.843,1.954,10.163,5.904,52
10.533,18.476,2.494,8.443,11.702,5.905,15.142,6.234,12.268,1.834,80
5.755,16.807,3.209,9.418,14.604,2.467,10.862,4.234,13.166,3.813,83
6.941,19.625,2.068,9.473,12.239,4.968,15.121,6.213,10.829,4.902,72
6.752,14.581,2.212,9.936,14.337,3.626,13.148,3.555,14.248,5.681,85
6.714,18.12,3.064,8.206,12.356,5.819,10.39,6.148,11.655,5.959,98
10.507,14.006,2.145,9.335,10.837,1.179,14.79,6.376,10.617,5.868,82
